First res_A: 0.08989102100489547; res_B:0.11829409672800775 
res_A: 0.12121978582340534; res_B:0.1529456010191715 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.12427508077006219; res_B:0.1116039730353923 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.1326560597039996; res_B:0.10759275613846049 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.1341923836293984; res_B:0.10425715623168359 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.13050794767681934; res_B:0.10613424616910609 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.1261122220267465; res_B:0.10774252482122045 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.11742043046012704; res_B:0.09587291264551083 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.10610327674744027; res_B:0.09079510878934867 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.11202792884880439; res_B:0.09291704421974194 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.10390961934589918; res_B:0.09177126256217752 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.1106108973747116; res_B:0.09253069650337611 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.10554878988124491; res_B:0.09310696369993442 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.08807421114627435; res_B:0.08228681237116817 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.09215824852585813; res_B:0.08105999444203246 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.09320902941779094; res_B:0.07943838933125805 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.09311241613521497; res_B:0.08468236249459382 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.09679514720285763; res_B:0.08585928299683565 
Best_mAP_A: 0.12121978582340534; Best_mAP_B:0.1529456010191715res_A: 0.0905278440470139; res_B:0.08768031108422067 
