First res_A: 0.07365791301245916; res_B:0.05939295026803264 
res_A: 0.0723300653300033; res_B:0.07880377754471217 
Best_mAP_A: 0.0723300653300033; Best_mAP_B:0.07880377754471217res_A: 0.08313847444066963; res_B:0.08163255924056845 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.07599571054127333; res_B:0.07723564759195695 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.08007807260168663; res_B:0.07963589332327636 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.07184206715003934; res_B:0.07173468671251977 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.06446288270863658; res_B:0.06371339885612695 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.06949985795177625; res_B:0.0682781882013529 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.06176500993504928; res_B:0.06218763966866954 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.06470255638328586; res_B:0.06805276862078677 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.05890843709687769; res_B:0.060275411505084905 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.05833138924368488; res_B:0.05661184319372783 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.06309885988550253; res_B:0.06413080580528838 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.06032702375201182; res_B:0.06282817667274565 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.053750931934730975; res_B:0.05484721198062511 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.054279445820285724; res_B:0.0541049399318579 
Best_mAP_A: 0.08313847444066963; Best_mAP_B:0.08163255924056845res_A: 0.055636771815761835; res_B:0.0584516873223788 
