First res_A: 0.05283022215631979; res_B:0.05775021740812332 
res_A: 0.062743881982083; res_B:0.08571821216669523 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.06259943849556845; res_B:0.07038922089984403 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.06835293489142052; res_B:0.07232338629782534 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.06434671859332904; res_B:0.0741872531987102 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.06400774734998751; res_B:0.0646577504753951 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.06174431971276577; res_B:0.06045189261031007 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05989361445847798; res_B:0.0611333824507276 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.054494445246474996; res_B:0.05585361144022873 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.0537924433509112; res_B:0.0561526920148482 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05349408029560933; res_B:0.05483845517416617 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05658380842619122; res_B:0.0558841903149355 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05384234301063764; res_B:0.05608748830302561 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.051051325623388155; res_B:0.051340467334237604 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.049972666748617375; res_B:0.05175496199683906 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05190430593856432; res_B:0.0523235340405826 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05370395229712547; res_B:0.05255521597233326 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04928123561275305; res_B:0.05018883272280576 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05431146174503142; res_B:0.05269982650119091 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.0507350332471907; res_B:0.050256138086831256 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05267546786055486; res_B:0.05231490089097033 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.053317462492207326; res_B:0.050893409642803825 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05336464282407698; res_B:0.052076340905860864 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05141071239192683; res_B:0.05004685779577843 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.051591352166846315; res_B:0.05111417576157016 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05070000543073079; res_B:0.050206405467127624 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.052351234236113674; res_B:0.05049584057769931 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.052108328066006813; res_B:0.052475698273331275 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.052033261875062596; res_B:0.050355305151836526 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05074251934361561; res_B:0.048987221675055405 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.051825542958634875; res_B:0.0507959897336505 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.0488693004821326; res_B:0.04696862596955831 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.050593980212953416; res_B:0.05061873257585013 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.051084899633839956; res_B:0.047246345896234505 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04978757665228979; res_B:0.04721045337435372 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.050659190014977026; res_B:0.04901152081994722 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.0511690650660667; res_B:0.049433345888818606 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04974465998467246; res_B:0.04926188353558707 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05034379641657337; res_B:0.04821910005719322 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04933780703973852; res_B:0.04667968718794091 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.050765560253522544; res_B:0.04915990993341966 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04886644555655184; res_B:0.04829125223054335 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.051665566911283586; res_B:0.04975181894378705 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.049735152791203475; res_B:0.04835938632689316 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05339276865926697; res_B:0.04961887006050664 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05090931477901289; res_B:0.04880102025972978 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.05057062730377384; res_B:0.0504967474235122 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.048187194348906906; res_B:0.04702557462466892 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04792770864167994; res_B:0.04881124874680625 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04816646226765442; res_B:0.04773569801636692 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523res_A: 0.04705859824491253; res_B:0.046933490035601676 
Best_mAP_A: 0.062743881982083; Best_mAP_B:0.08571821216669523
