First res_A: 0.0952267984834271; res_B:0.07084411968490505 
res_A: 0.09984557533875353; res_B:0.10533873427839473 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.07705719862305394; res_B:0.08891707357012194 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.0880423636042109; res_B:0.09890728935513038 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.07651872972505663; res_B:0.08515738458134925 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.06633161240350735; res_B:0.08016396920933863 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.0639074388103474; res_B:0.06941639551093606 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.06125225107706637; res_B:0.06716803936312916 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.060853922527611695; res_B:0.0677727233603655 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.05872469438347434; res_B:0.05912746071194532 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.054742430393439; res_B:0.05529305794549233 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.057937243472879006; res_B:0.05957070601140384 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.05544323144878903; res_B:0.05851849665459892 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.05113660509776461; res_B:0.05049154563724847 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.05426548931794123; res_B:0.05633268517668677 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.054537038339033506; res_B:0.05445459776361009 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.0530437820539551; res_B:0.05277880682180429 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.045428669438231796; res_B:0.04994775678320114 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.05302192773030382; res_B:0.0490830568075854 
Best_mAP_A: 0.09984557533875353; Best_mAP_B:0.10533873427839473res_A: 0.04919250256865989; res_B:0.0488407404460347 
