First res_A: 0.2458410503455497; res_B:0.12654393797344232 
res_A: 0.1823245635479897; res_B:0.16767506851776487 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.1807300561852136; res_B:0.16130030019372152 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.1485550600174585; res_B:0.14267267595877006 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.12205458001597047; res_B:0.11470140825672268 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.11050128626955051; res_B:0.10668597165342604 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.10016344178719434; res_B:0.09943585506888666 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.0874806388045085; res_B:0.08957219034333912 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.0947753960718336; res_B:0.09082293623689744 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.09459031407982912; res_B:0.09165339435043378 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.08718543218319257; res_B:0.08468977345330203 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.0874950310199084; res_B:0.08964372456812057 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.08158129481240747; res_B:0.08159384113202045 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.08050106492444051; res_B:0.07958528622112378 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07984617459403243; res_B:0.07629549263633073 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.08123693137034729; res_B:0.0785924671857538 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07550601716654178; res_B:0.0746261673198613 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07426687642688984; res_B:0.07429677334636939 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07034681370926224; res_B:0.07004124930520554 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07534840674463102; res_B:0.07495118625369235 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.0706672766885961; res_B:0.07030316540013362 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07549751016787964; res_B:0.07234900999142865 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06956502339929935; res_B:0.06798018491246005 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06875115466765103; res_B:0.06951507441906635 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06944341281685298; res_B:0.06882371387934813 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07382646151892595; res_B:0.07252721228075638 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06866584521097711; res_B:0.06881578042156294 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06963584312827986; res_B:0.07077561091965304 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06912765853246544; res_B:0.07009307747880053 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07163110521589189; res_B:0.0720808073742398 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07129456115276385; res_B:0.07213503853552024 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07168604056702008; res_B:0.07215741787146068 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07147831440569576; res_B:0.07099729838201922 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06944734423884387; res_B:0.06887689582894377 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07200073593470875; res_B:0.06952412915874447 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06753883807851505; res_B:0.06832737379892825 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06956757820547192; res_B:0.06758512855759194 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07201040714026126; res_B:0.06788165835231516 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.07022675957756579; res_B:0.0678011914479704 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06920504323062589; res_B:0.06547246145703138 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06767166341261828; res_B:0.06752011555496305 
Best_mAP_A: 0.1823245635479897; Best_mAP_B:0.16767506851776487res_A: 0.06966678332179968; res_B:0.06823696456035075 
