First res_A: 0.16067783878865036; res_B:0.07486149694102581 
res_A: 0.1247051945006598; res_B:0.1289354643576105 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.11582944185564278; res_B:0.12819090976090913 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.07745127983315522; res_B:0.09208562476645457 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.08281700030322167; res_B:0.09092757809270702 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.07509707475236677; res_B:0.07905111210402431 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.07331716497050052; res_B:0.08337895522000986 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.06740863764897229; res_B:0.073838643120786 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.06482899881627989; res_B:0.07013032567917236 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.06274891797538361; res_B:0.06587948401054848 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.0595275962067231; res_B:0.06357965965167112 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.05834708100105775; res_B:0.056706039553630835 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.05903265929208362; res_B:0.06076508123933074 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.0572240512553606; res_B:0.05868927401559047 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.05398779429437345; res_B:0.0557739790656939 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.05203779830946083; res_B:0.05549950406922819 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.05931108362562323; res_B:0.05692689497605876 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.05287194389854236; res_B:0.05932572997042296 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.051927691572462575; res_B:0.05303422026174581 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.05156991472553938; res_B:0.05372732084287899 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.050037360842330195; res_B:0.05300822793285455 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.051333234097019544; res_B:0.055057646668568536 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.04954523826202794; res_B:0.052486389292744184 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.048998279271843005; res_B:0.053655750790488455 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.04641863755080915; res_B:0.051532948804686306 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.052258279933296084; res_B:0.055607521540871084 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.050514230166771146; res_B:0.05461286461849983 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.04696374243682554; res_B:0.05279225541954459 
Best_mAP_A: 0.1247051945006598; Best_mAP_B:0.1289354643576105res_A: 0.04950225237322838; res_B:0.05671008250380288 
