First res_A: 0.08862273622688357; res_B:0.11008411701074076 
res_A: 0.08214470030736906; res_B:0.09415469620501066 
Best_mAP_A: 0.08214470030736906; Best_mAP_B:0.09415469620501066res_A: 0.09795182427828135; res_B:0.0959275258469127 
Best_mAP_A: 0.09795182427828135; Best_mAP_B:0.0959275258469127res_A: 0.08646479435748489; res_B:0.09468477148927458 
Best_mAP_A: 0.09795182427828135; Best_mAP_B:0.0959275258469127res_A: 0.09830563059902642; res_B:0.1029204499064843 
Best_mAP_A: 0.09830563059902642; Best_mAP_B:0.1029204499064843res_A: 0.10265282281676505; res_B:0.10179285867184651 
Best_mAP_A: 0.10265282281676505; Best_mAP_B:0.10179285867184651res_A: 0.1101086740820944; res_B:0.12540383470140162 
Best_mAP_A: 0.1101086740820944; Best_mAP_B:0.12540383470140162res_A: 0.11436819690544985; res_B:0.12671452952984774 
Best_mAP_A: 0.11436819690544985; Best_mAP_B:0.12671452952984774res_A: 0.12265046682753548; res_B:0.13924595194498748 
Best_mAP_A: 0.12265046682753548; Best_mAP_B:0.13924595194498748res_A: 0.1294484169292487; res_B:0.13473626987757778 
Best_mAP_A: 0.1294484169292487; Best_mAP_B:0.13473626987757778res_A: 0.1248806037409782; res_B:0.14223684178742727 
Best_mAP_A: 0.1248806037409782; Best_mAP_B:0.14223684178742727res_A: 0.13147374708657966; res_B:0.14700389496714378 
Best_mAP_A: 0.13147374708657966; Best_mAP_B:0.14700389496714378res_A: 0.14787327668406935; res_B:0.16293632879776238 
Best_mAP_A: 0.14787327668406935; Best_mAP_B:0.16293632879776238res_A: 0.1627881790868794; res_B:0.17331313509679133 
Best_mAP_A: 0.1627881790868794; Best_mAP_B:0.17331313509679133res_A: 0.1566484526257626; res_B:0.17462396287797885 
Best_mAP_A: 0.1627881790868794; Best_mAP_B:0.17331313509679133res_A: 0.15332019055692353; res_B:0.17549204114754233 
Best_mAP_A: 0.1627881790868794; Best_mAP_B:0.17331313509679133res_A: 0.17912242772156795; res_B:0.18710309582843188 
Best_mAP_A: 0.17912242772156795; Best_mAP_B:0.18710309582843188res_A: 0.17507395380805535; res_B:0.18539372175246716 
Best_mAP_A: 0.17912242772156795; Best_mAP_B:0.18710309582843188res_A: 0.1587906273778398; res_B:0.16030767050541414 
Best_mAP_A: 0.17912242772156795; Best_mAP_B:0.18710309582843188res_A: 0.1539075256964211; res_B:0.16318916600632039 
Best_mAP_A: 0.17912242772156795; Best_mAP_B:0.18710309582843188res_A: 0.1892424390787037; res_B:0.19966712914784535 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535res_A: 0.15289677123029155; res_B:0.17388151711298938 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535res_A: 0.15305871793810336; res_B:0.15691633875156183 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535res_A: 0.13604701794555915; res_B:0.15176118863614416 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535res_A: 0.16379359223667952; res_B:0.15954656971112383 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535res_A: 0.1561752005692119; res_B:0.16150167402930835 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535res_A: 0.13511916063836402; res_B:0.12703768786420133 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535res_A: 0.15456152294886832; res_B:0.1557943736141626 
Best_mAP_A: 0.1892424390787037; Best_mAP_B:0.19966712914784535
